Area (sqft),Bedrooms,Bathrooms,Floors,Age (years),Location Quality,Price (USD)
4084.42,1.0,1.0,2.0,1.0,6.0,497985.36
2666.85,5.0,2.0,1.0,18.0,7.0,365621.67
1027.89,3.0,1.0,1.0,15.0,4.0,154291.47
1063.34,5.0,,2.0,42.0,7.0,224925.64
3585.04,3.0,2.0,2.0,43.0,8.0,450876.97
2436.38,3.0,2.0,1.0,24.0,3.0,297811.65
1402.36,1.0,,2.0,0.0,2.0,168293.34
2712.18,2.0,1.0,,1.0,5.0,360385.3
788.94,1.0,2.0,2.0,47.0,2.0,125931.55
3118.87,5.0,3.0,2.0,26.0,5.0,400470.22
1710.47,3.0,3.0,1.0,1.0,6.0,259876.58
4089.02,4.0,3.0,1.0,29.0,8.0,534774.39
1896.63,4.0,2.0,2.0,,6.0,292196.5
2548.49,3.0,1.0,2.0,18.0,4.0,315708.19
552.29,1.0,2.0,2.0,41.0,3.0,97563.43
826.01,2.0,3.0,2.0,15.0,2.0,134262.25
2266.22,1.0,1.0,1.0,12.0,1.0,258241.33
2659.72,,2.0,2.0,47.0,2.0,327279.07
3200.09,3.0,2.0,2.0,49.0,2.0,383436.21
1812.48,2.0,3.0,1.0,7.0,5.0,256503.56
3627.42,,2.0,1.0,49.0,9.0,485522.2
4370.55,5.0,1.0,2.0,30.0,1.0,
4009.33,2.0,,1.0,44.0,,457427.33
678.28,5.0,3.0,1.0,24.0,7.0,175207.22
2662.28,4.0,1.0,2.0,38.0,3.0,329596.7
972.19,5.0,3.0,2.0,20.0,8.0,220532.16
1589.2,5.0,2.0,1.0,49.0,3.0,206365.91
4939.98,5.0,2.0,2.0,37.0,8.0,603328.83
1141.23,4.0,3.0,1.0,40.0,2.0,
2745.0,5.0,1.0,1.0,28.0,5.0,356390.33
3281.7,4.0,2.0,1.0,5.0,4.0,388547.61
,2.0,1.0,2.0,17.0,9.0,469619.63
3018.42,1.0,2.0,2.0,48.0,3.0,365469.24
543.97,2.0,2.0,1.0,43.0,5.0,122102.12
1969.08,1.0,3.0,1.0,34.0,9.0,306674.02
2829.7,2.0,3.0,2.0,26.0,6.0,374852.09
895.4,1.0,1.0,1.0,4.0,2.0,125791.31
2077.82,1.0,3.0,1.0,6.0,1.0,241673.84
649.41,3.0,2.0,2.0,9.0,1.0,121546.39
853.6,1.0,2.0,2.0,9.0,7.0,173850.36
2286.15,1.0,1.0,2.0,27.0,2.0,271152.67
1097.22,3.0,1.0,2.0,35.0,7.0,218946.45
3053.93,5.0,2.0,1.0,,1.0,359370.23
3602.59,5.0,3.0,2.0,,4.0,431982.58
4102.64,3.0,3.0,2.0,34.0,4.0,487346.42
1400.68,4.0,1.0,1.0,34.0,5.0,207630.34
1253.67,,1.0,1.0,36.0,1.0,152147.79
970.56,1.0,2.0,1.0,47.0,7.0,181728.47
3363.94,3.0,2.0,2.0,19.0,2.0,386403.46
3679.14,3.0,1.0,1.0,12.0,2.0,400430.37
642.14,4.0,,2.0,10.0,8.0,163604.6
4712.96,5.0,1.0,1.0,44.0,9.0,579380.59
733.87,2.0,1.0,2.0,18.0,6.0,159297.46
2935.83,5.0,3.0,1.0,,,359011.0
3690.77,,1.0,2.0,37.0,1.0,386575.98
4419.36,3.0,2.0,2.0,44.0,7.0,528689.12
3713.39,4.0,3.0,1.0,,8.0,496636.27
,5.0,3.0,1.0,36.0,3.0,489463.03
2027.53,4.0,2.0,2.0,18.0,9.0,336924.92
4166.71,5.0,2.0,1.0,36.0,4.0,
860.52,1.0,2.0,2.0,13.0,4.0,169154.78
4526.67,2.0,1.0,2.0,30.0,3.0,512355.83
2964.17,4.0,3.0,2.0,27.0,8.0,405789.14
4177.84,4.0,1.0,1.0,35.0,9.0,516109.29
2535.43,2.0,1.0,2.0,43.0,1.0,266639.72
3396.1,4.0,1.0,2.0,37.0,2.0,396893.61
2868.81,4.0,1.0,2.0,18.0,1.0,309188.42
3792.15,5.0,3.0,2.0,41.0,4.0,467590.6
867.33,5.0,3.0,1.0,0.0,7.0,204032.98
771.58,2.0,1.0,1.0,22.0,7.0,150310.08
1611.96,1.0,2.0,2.0,27.0,6.0,243284.44
1217.95,4.0,3.0,1.0,47.0,5.0,204630.56
4423.03,1.0,1.0,1.0,3.0,4.0,504772.36
1486.46,2.0,2.0,2.0,40.0,8.0,234376.14
4891.39,2.0,2.0,1.0,17.0,7.0,573803.39
2016.03,,1.0,1.0,48.0,1.0,228267.62
1319.53,4.0,3.0,1.0,46.0,6.0,233369.46
,,2.0,1.0,38.0,2.0,447387.66
3464.18,2.0,3.0,1.0,24.0,4.0,427425.98
2741.88,4.0,3.0,1.0,17.0,5.0,360800.06
2999.14,1.0,2.0,2.0,5.0,8.0,406120.51
3736.41,5.0,1.0,1.0,18.0,6.0,479883.4
1528.05,1.0,2.0,2.0,11.0,2.0,177875.68
,2.0,2.0,2.0,24.0,5.0,573839.98
4886.57,2.0,,2.0,34.0,5.0,568541.26
3426.47,1.0,1.0,1.0,0.0,,409768.57
1397.94,2.0,3.0,1.0,4.0,1.0,181355.37
3561.03,4.0,2.0,2.0,0.0,8.0,479224.8
824.89,2.0,1.0,2.0,7.0,3.0,126626.58
637.94,5.0,1.0,2.0,38.0,5.0,144748.08
1659.57,4.0,1.0,1.0,46.0,7.0,
2581.8,3.0,1.0,1.0,42.0,3.0,302736.9
4407.23,2.0,1.0,1.0,17.0,6.0,526610.01
3772.26,2.0,2.0,2.0,45.0,5.0,
3842.18,5.0,2.0,1.0,8.0,7.0,506345.68
2414.72,5.0,2.0,1.0,4.0,3.0,311655.59
2056.71,1.0,3.0,2.0,,2.0,
2169.67,1.0,1.0,1.0,43.0,4.0,270746.58
,1.0,,2.0,28.0,3.0,548510.79
680.49,5.0,2.0,1.0,0.0,,150883.4
4401.64,1.0,1.0,2.0,29.0,7.0,537485.65
3104.04,,3.0,1.0,44.0,5.0,387709.84
2473.77,3.0,1.0,2.0,0.0,,309666.89
3763.66,1.0,1.0,1.0,2.0,6.0,446466.29
2690.01,2.0,3.0,2.0,21.0,7.0,371396.22
4430.4,5.0,2.0,2.0,7.0,5.0,520935.48
4553.16,4.0,2.0,1.0,17.0,7.0,553381.6
2397.74,3.0,1.0,1.0,24.0,3.0,301382.15
1745.73,5.0,3.0,2.0,47.0,7.0,300624.33
3165.58,5.0,2.0,1.0,19.0,3.0,387618.31
4605.64,2.0,2.0,2.0,30.0,,549107.68
1447.98,1.0,2.0,2.0,29.0,,240898.81
3303.35,2.0,1.0,1.0,15.0,6.0,400933.5
3342.02,1.0,3.0,1.0,1.0,3.0,398705.07
3799.01,1.0,1.0,1.0,,5.0,437302.91
1092.05,5.0,2.0,2.0,9.0,9.0,259308.35
3721.21,,3.0,2.0,6.0,8.0,487006.92
4590.65,3.0,1.0,1.0,41.0,6.0,540317.72
1308.57,3.0,2.0,2.0,8.0,9.0,243661.82
1568.94,3.0,2.0,2.0,16.0,2.0,185508.09
4871.28,5.0,1.0,1.0,8.0,9.0,614979.28
1314.4,2.0,2.0,2.0,8.0,6.0,214870.97
4344.73,4.0,,2.0,36.0,9.0,567112.71
2715.25,1.0,3.0,2.0,23.0,4.0,329797.56
1612.54,4.0,2.0,1.0,38.0,5.0,235341.89
4418.37,2.0,1.0,1.0,10.0,2.0,491031.58
2503.87,2.0,3.0,2.0,7.0,3.0,320354.93
2816.68,5.0,1.0,1.0,24.0,1.0,311854.78
2116.55,,2.0,2.0,45.0,4.0,277995.07
3168.28,3.0,3.0,1.0,1.0,2.0,394665.3
,2.0,3.0,2.0,9.0,2.0,180222.31
2259.87,5.0,3.0,2.0,23.0,1.0,281906.61
4862.36,5.0,3.0,2.0,47.0,2.0,557788.33
1661.6,1.0,1.0,2.0,15.0,4.0,224682.74
3455.31,3.0,2.0,1.0,18.0,6.0,448367.66
1963.36,2.0,2.0,2.0,30.0,7.0,297886.98
3980.63,4.0,3.0,2.0,,7.0,522128.44
1088.93,3.0,2.0,1.0,5.0,7.0,224816.09
4864.19,1.0,1.0,1.0,5.0,4.0,537428.48
2542.05,5.0,2.0,2.0,,5.0,
1562.23,2.0,1.0,2.0,38.0,3.0,188165.7
830.74,3.0,1.0,1.0,47.0,1.0,106565.52
1263.91,4.0,2.0,2.0,12.0,8.0,230904.92
2838.98,1.0,1.0,,2.0,7.0,375152.86
2016.51,1.0,1.0,2.0,40.0,9.0,295516.11
4229.98,3.0,1.0,2.0,34.0,4.0,493821.34
2438.99,4.0,1.0,2.0,37.0,5.0,327285.78
1619.21,1.0,3.0,2.0,16.0,,236825.0
3277.15,2.0,2.0,2.0,2.0,7.0,437077.92
3680.5,1.0,3.0,2.0,33.0,9.0,484942.36
1251.69,4.0,1.0,2.0,11.0,8.0,218256.38
1254.29,5.0,2.0,1.0,23.0,7.0,222942.68
665.02,5.0,1.0,1.0,5.0,1.0,103260.37
3813.81,3.0,2.0,1.0,41.0,6.0,465283.44
3487.12,4.0,3.0,2.0,10.0,9.0,479421.42
2635.84,1.0,2.0,2.0,47.0,7.0,343894.18
4298.77,1.0,1.0,2.0,26.0,1.0,458486.7
4125.52,5.0,2.0,1.0,47.0,9.0,543021.16
3134.09,5.0,2.0,1.0,23.0,3.0,374623.48
4407.22,2.0,3.0,2.0,17.0,9.0,555824.65
1426.29,5.0,,1.0,26.0,4.0,225071.01
1003.64,,2.0,1.0,40.0,9.0,236624.79
1713.87,1.0,3.0,2.0,20.0,8.0,269967.99
756.89,2.0,2.0,2.0,33.0,,178000.4
2890.26,2.0,1.0,1.0,32.0,4.0,341235.74
4714.73,3.0,2.0,2.0,47.0,9.0,593832.85
677.05,5.0,2.0,1.0,17.0,4.0,136775.51
1049.49,2.0,2.0,1.0,2.0,1.0,129031.52
2534.9,1.0,2.0,1.0,23.0,6.0,319662.57
4702.44,4.0,1.0,2.0,0.0,4.0,537602.62
1922.7,2.0,3.0,1.0,5.0,3.0,252922.92
2782.56,5.0,3.0,1.0,18.0,5.0,
687.08,3.0,2.0,2.0,21.0,3.0,121173.36
1167.54,1.0,1.0,2.0,42.0,9.0,209975.71
4939.84,3.0,1.0,,7.0,6.0,598389.19
4843.03,4.0,1.0,2.0,4.0,3.0,
522.23,2.0,1.0,,8.0,5.0,126476.18
4783.15,2.0,1.0,1.0,46.0,8.0,576568.07
3376.04,5.0,1.0,2.0,20.0,8.0,
4405.63,2.0,2.0,1.0,27.0,6.0,521979.55
2546.33,1.0,3.0,2.0,45.0,5.0,324408.43
,4.0,3.0,2.0,3.0,5.0,377587.61
2699.81,3.0,2.0,1.0,23.0,1.0,315813.43
3500.89,4.0,3.0,1.0,7.0,2.0,419435.66
1128.43,2.0,1.0,2.0,16.0,4.0,149820.19
634.88,3.0,1.0,2.0,33.0,6.0,154866.78
1885.68,5.0,3.0,2.0,19.0,7.0,303310.74
3671.06,4.0,1.0,1.0,15.0,1.0,408054.04
1408.34,3.0,1.0,2.0,,8.0,242958.35
3530.45,3.0,3.0,1.0,33.0,1.0,394926.95
4864.6,3.0,2.0,2.0,42.0,9.0,616212.9
922.55,1.0,3.0,2.0,9.0,4.0,165815.76
3526.71,4.0,3.0,2.0,29.0,7.0,476512.71
2496.88,3.0,3.0,,29.0,6.0,345378.31
4406.64,4.0,3.0,2.0,24.0,9.0,571314.91
1297.17,3.0,2.0,1.0,45.0,2.0,172838.78
3616.82,5.0,2.0,1.0,42.0,7.0,452587.23
4271.52,5.0,1.0,1.0,40.0,5.0,477241.91
4750.76,5.0,1.0,2.0,6.0,7.0,574068.64
3574.62,2.0,3.0,1.0,46.0,1.0,402534.33
2737.29,3.0,1.0,1.0,19.0,9.0,399134.38
3280.31,2.0,2.0,2.0,16.0,1.0,344807.36
4410.07,4.0,1.0,2.0,2.0,5.0,536473.77
3067.74,2.0,1.0,1.0,46.0,8.0,391650.76
636.74,4.0,1.0,1.0,45.0,1.0,80410.0
4689.27,4.0,3.0,1.0,39.0,7.0,585719.27
3602.87,4.0,1.0,1.0,35.0,2.0,398232.56
3544.31,2.0,2.0,1.0,25.0,7.0,472586.35
1470.54,3.0,2.0,1.0,9.0,7.0,240521.57
3464.98,2.0,2.0,1.0,33.0,9.0,454134.45
2272.39,3.0,2.0,2.0,13.0,6.0,309874.08
3430.55,3.0,1.0,1.0,7.0,4.0,408154.01
979.67,4.0,3.0,2.0,,7.0,217737.65
3460.3,2.0,2.0,2.0,9.0,7.0,426927.24
4997.36,3.0,2.0,2.0,49.0,4.0,571493.99
716.95,5.0,3.0,1.0,14.0,2.0,133808.38
4897.28,3.0,3.0,1.0,36.0,9.0,
2331.09,5.0,2.0,2.0,21.0,8.0,339896.72
4418.39,2.0,2.0,1.0,44.0,5.0,519825.24
4020.73,2.0,3.0,1.0,49.0,5.0,479139.88
3051.57,2.0,2.0,2.0,30.0,1.0,333336.21
3823.02,3.0,2.0,1.0,1.0,9.0,511896.59
4453.32,1.0,1.0,2.0,44.0,8.0,539830.26
2318.63,3.0,3.0,2.0,30.0,5.0,326541.47
1971.65,3.0,1.0,2.0,13.0,6.0,298970.99
3504.17,4.0,1.0,2.0,9.0,8.0,463792.18
4135.31,4.0,3.0,1.0,29.0,6.0,531054.76
3930.28,3.0,1.0,2.0,35.0,4.0,468303.8
4090.16,5.0,2.0,1.0,46.0,3.0,479650.41
,4.0,1.0,1.0,39.0,7.0,321299.69
4180.25,3.0,3.0,1.0,14.0,2.0,475322.92
1040.94,1.0,2.0,1.0,13.0,7.0,195957.26
2950.2,5.0,2.0,2.0,30.0,1.0,346175.71
525.91,2.0,2.0,2.0,28.0,5.0,125892.93
1960.64,3.0,2.0,2.0,26.0,9.0,322324.5
2149.08,3.0,1.0,2.0,20.0,1.0,256699.56
2282.78,5.0,1.0,2.0,8.0,8.0,327956.29
3629.6,4.0,2.0,,19.0,9.0,499708.4
2248.51,4.0,3.0,2.0,34.0,,340286.48
2519.12,4.0,2.0,1.0,14.0,8.0,362053.01
1568.95,2.0,,1.0,23.0,4.0,203419.22
2179.63,5.0,2.0,2.0,48.0,7.0,316145.36
1522.71,5.0,1.0,,15.0,1.0,205136.33
829.38,4.0,2.0,1.0,35.0,7.0,184154.2
,4.0,3.0,2.0,10.0,6.0,433377.99
3506.96,1.0,2.0,2.0,7.0,5.0,430616.16
3287.71,1.0,3.0,2.0,2.0,1.0,351220.54
2585.72,,3.0,1.0,18.0,8.0,368394.58
,3.0,2.0,2.0,45.0,1.0,264389.72
4385.0,5.0,3.0,2.0,40.0,1.0,499068.38
2835.87,5.0,3.0,1.0,2.0,3.0,344620.24
2656.32,2.0,1.0,2.0,35.0,,371932.27
615.39,2.0,1.0,,24.0,8.0,162899.56
2035.62,1.0,3.0,1.0,35.0,7.0,
2210.88,3.0,2.0,2.0,10.0,5.0,308174.28
,1.0,3.0,1.0,15.0,8.0,
3110.78,1.0,2.0,,16.0,2.0,354797.65
2901.21,3.0,1.0,,41.0,8.0,371918.64
3235.57,2.0,2.0,2.0,23.0,2.0,365430.95
3941.97,3.0,3.0,2.0,16.0,5.0,494804.17
4158.44,4.0,3.0,1.0,47.0,4.0,495832.19
3731.55,4.0,3.0,1.0,19.0,1.0,431271.41
4799.86,4.0,,2.0,21.0,5.0,570450.59
582.05,5.0,3.0,2.0,5.0,7.0,184848.46
1381.0,2.0,2.0,2.0,6.0,1.0,
534.03,2.0,3.0,1.0,13.0,2.0,95554.6
3413.64,5.0,,2.0,10.0,9.0,464842.45
4541.14,1.0,3.0,1.0,11.0,5.0,545454.4
1595.67,4.0,2.0,2.0,45.0,7.0,271890.21
4671.66,4.0,3.0,1.0,,2.0,520443.98
771.2,1.0,3.0,1.0,4.0,7.0,171146.59
4704.96,3.0,2.0,2.0,19.0,7.0,562453.62
2082.3,3.0,3.0,1.0,14.0,7.0,316225.23
956.39,2.0,2.0,1.0,25.0,5.0,177611.73
2686.42,5.0,3.0,2.0,32.0,9.0,424559.93
1655.49,2.0,1.0,2.0,29.0,2.0,188474.48
1781.93,3.0,3.0,1.0,23.0,4.0,261176.47
1882.8,1.0,2.0,,22.0,2.0,225803.14
4113.62,2.0,1.0,,8.0,8.0,506090.63
2926.23,4.0,,2.0,2.0,1.0,332870.08
1900.88,4.0,3.0,1.0,35.0,9.0,334886.61
3246.5,1.0,1.0,1.0,47.0,5.0,363961.36
3722.68,3.0,2.0,2.0,6.0,3.0,431170.45
1726.81,4.0,1.0,2.0,21.0,4.0,245153.97
2360.97,4.0,1.0,2.0,13.0,1.0,281029.88
1048.49,5.0,2.0,2.0,47.0,3.0,182916.98
1315.17,,1.0,2.0,28.0,8.0,220110.19
3565.03,3.0,,1.0,49.0,2.0,
1316.47,2.0,1.0,1.0,15.0,2.0,168017.65
2863.24,3.0,1.0,1.0,,9.0,392326.17
3690.71,4.0,1.0,2.0,33.0,5.0,440875.23
980.95,5.0,3.0,2.0,9.0,5.0,199913.66
3052.9,2.0,3.0,2.0,6.0,1.0,349666.14
1654.53,,2.0,1.0,24.0,6.0,254090.45
4833.17,3.0,1.0,2.0,26.0,8.0,580864.97
2675.96,2.0,2.0,2.0,14.0,6.0,358520.96
4126.97,2.0,3.0,2.0,31.0,7.0,500188.09
2976.02,4.0,3.0,1.0,27.0,4.0,374278.52
695.36,2.0,3.0,2.0,8.0,2.0,117258.83
3349.18,5.0,3.0,2.0,6.0,,394488.9
4781.32,5.0,2.0,1.0,15.0,6.0,576029.96
3207.25,4.0,1.0,2.0,25.0,9.0,447393.53
4186.35,3.0,2.0,2.0,34.0,5.0,503425.15
4478.93,4.0,1.0,2.0,16.0,2.0,500610.96
1526.36,5.0,3.0,1.0,22.0,1.0,208963.31
1454.2,1.0,1.0,2.0,7.0,3.0,190111.38
3249.41,1.0,3.0,2.0,1.0,4.0,394647.53
2349.63,2.0,2.0,1.0,30.0,7.0,308484.36
4279.38,2.0,1.0,1.0,31.0,9.0,539075.49
4550.1,1.0,2.0,2.0,28.0,8.0,557075.26
2090.4,5.0,3.0,1.0,2.0,,359643.74
1565.92,2.0,2.0,2.0,7.0,7.0,249646.37
4012.36,4.0,,1.0,1.0,8.0,537639.7
1736.63,4.0,3.0,,30.0,8.0,292744.78
4201.76,5.0,3.0,2.0,,1.0,466844.4
2406.82,2.0,2.0,2.0,36.0,9.0,368936.45
3503.97,4.0,2.0,1.0,19.0,2.0,407235.93
929.91,2.0,1.0,1.0,28.0,7.0,194101.07
3307.37,2.0,1.0,2.0,16.0,5.0,402241.88
,4.0,2.0,2.0,9.0,4.0,339569.23
3139.74,1.0,2.0,2.0,40.0,1.0,351261.05
1256.06,4.0,2.0,2.0,21.0,1.0,168592.29
3815.93,5.0,2.0,1.0,5.0,3.0,456053.67
4382.59,3.0,3.0,1.0,42.0,1.0,480401.18
1475.33,4.0,3.0,2.0,33.0,8.0,276256.23
930.72,2.0,3.0,1.0,30.0,3.0,140418.44
606.37,2.0,2.0,1.0,11.0,2.0,111448.33
3388.87,4.0,,1.0,,6.0,449891.66
3231.92,3.0,3.0,2.0,15.0,4.0,395363.25
2960.14,4.0,1.0,2.0,24.0,4.0,355399.53
,3.0,1.0,1.0,21.0,2.0,178593.25
2259.08,3.0,3.0,1.0,26.0,2.0,300492.68
3175.14,5.0,3.0,2.0,23.0,6.0,417597.19
2735.45,2.0,3.0,2.0,11.0,5.0,372524.53
4945.03,2.0,,2.0,17.0,9.0,609023.18
1113.98,3.0,1.0,1.0,44.0,4.0,178580.08
3628.15,2.0,1.0,1.0,,5.0,429424.4
2319.43,1.0,1.0,1.0,15.0,1.0,274964.48
2426.9,3.0,,2.0,3.0,2.0,318548.18
3729.19,2.0,2.0,2.0,11.0,3.0,432850.0
3615.96,1.0,1.0,,,5.0,423094.35
4960.65,5.0,1.0,2.0,,5.0,584456.2
1077.77,2.0,2.0,2.0,21.0,4.0,200390.05
968.49,1.0,3.0,1.0,17.0,3.0,153126.34
3759.52,4.0,3.0,1.0,47.0,9.0,487625.2
3102.74,4.0,1.0,1.0,32.0,1.0,346321.13
1733.72,1.0,,2.0,26.0,6.0,239765.34
857.39,3.0,2.0,1.0,41.0,,181651.78
885.46,3.0,1.0,2.0,18.0,4.0,164457.53
,2.0,2.0,1.0,47.0,3.0,505026.81
1363.4,4.0,1.0,1.0,13.0,8.0,237807.96
1955.17,3.0,1.0,2.0,24.0,9.0,306688.05
1519.95,3.0,1.0,1.0,33.0,1.0,169732.68
2097.48,4.0,3.0,1.0,23.0,,351904.33
812.41,5.0,2.0,1.0,37.0,7.0,194047.13
2835.77,3.0,2.0,1.0,22.0,1.0,
804.26,1.0,3.0,1.0,4.0,7.0,203836.21
4101.6,2.0,3.0,1.0,43.0,5.0,483390.41
1551.7,3.0,3.0,1.0,35.0,7.0,260125.29
2930.05,3.0,2.0,2.0,23.0,9.0,410029.76
4460.36,5.0,1.0,1.0,35.0,8.0,558236.92
3428.95,1.0,3.0,2.0,4.0,6.0,435035.55
2898.31,2.0,3.0,1.0,38.0,2.0,322254.86
1959.5,3.0,3.0,2.0,5.0,,328685.09
1998.51,2.0,1.0,2.0,,4.0,245769.62
3512.69,4.0,1.0,1.0,35.0,8.0,463440.1
4973.63,3.0,3.0,2.0,44.0,7.0,598244.39
3478.28,3.0,1.0,2.0,3.0,4.0,415861.25
3010.03,4.0,3.0,1.0,9.0,8.0,428024.13
3787.93,5.0,1.0,2.0,0.0,2.0,438165.68
2593.43,3.0,2.0,1.0,20.0,9.0,384781.22
770.64,2.0,2.0,,39.0,6.0,152182.01
3030.34,1.0,1.0,2.0,38.0,7.0,393802.85
4809.31,2.0,2.0,2.0,36.0,,503425.67
1288.86,5.0,2.0,2.0,2.0,3.0,194357.66
3605.02,1.0,,1.0,46.0,5.0,429092.15
1404.2,2.0,3.0,1.0,30.0,7.0,248915.47
2911.22,2.0,1.0,1.0,26.0,1.0,318760.23
935.04,4.0,1.0,1.0,16.0,9.0,225225.99
2526.67,5.0,,1.0,22.0,5.0,324931.14
3902.73,,2.0,2.0,12.0,3.0,446219.97
2064.07,1.0,3.0,1.0,46.0,7.0,304589.5
3492.1,4.0,1.0,2.0,26.0,8.0,458233.01
4079.52,,2.0,1.0,19.0,3.0,484213.55
4672.3,3.0,3.0,1.0,45.0,7.0,556949.71
1555.89,3.0,3.0,1.0,12.0,7.0,257756.79
2296.92,1.0,1.0,1.0,43.0,4.0,293519.86
1185.87,3.0,,2.0,23.0,9.0,229976.84
4966.18,4.0,2.0,1.0,40.0,1.0,549883.04
4671.5,1.0,1.0,2.0,2.0,,502517.95
2929.81,5.0,2.0,2.0,42.0,5.0,376726.37
4289.15,1.0,,1.0,9.0,3.0,500232.58
2844.31,1.0,3.0,2.0,0.0,9.0,409694.55
3306.14,2.0,3.0,2.0,48.0,5.0,408149.3
901.06,2.0,3.0,1.0,12.0,7.0,190907.35
,1.0,1.0,2.0,13.0,1.0,419660.29
1074.71,3.0,1.0,,,2.0,134787.9
4217.3,2.0,2.0,1.0,1.0,4.0,497520.15
4019.13,5.0,2.0,2.0,1.0,9.0,541127.14
,4.0,2.0,2.0,38.0,5.0,445623.25
,2.0,2.0,2.0,40.0,5.0,125587.28
1864.08,1.0,2.0,2.0,30.0,9.0,292901.28
1684.01,3.0,3.0,2.0,3.0,8.0,292302.68
2120.61,4.0,3.0,2.0,33.0,2.0,274020.73
894.39,2.0,3.0,2.0,18.0,7.0,194337.13
,3.0,2.0,1.0,36.0,1.0,513169.02
2992.11,3.0,3.0,1.0,,9.0,415104.14
1874.86,3.0,3.0,1.0,23.0,3.0,251231.87
2286.42,1.0,3.0,2.0,12.0,2.0,281220.4
2512.41,,3.0,2.0,43.0,4.0,339248.01
3202.67,3.0,,2.0,29.0,4.0,391455.36
2820.56,4.0,,1.0,,3.0,343421.02
4637.26,2.0,2.0,1.0,40.0,2.0,503259.05
2736.34,4.0,1.0,1.0,9.0,5.0,344418.56
4964.71,,3.0,2.0,41.0,4.0,564153.45
4331.41,1.0,3.0,1.0,43.0,5.0,494836.49
1438.3,4.0,3.0,1.0,13.0,8.0,270967.24
,5.0,2.0,2.0,39.0,2.0,537779.42
1023.65,1.0,2.0,1.0,47.0,9.0,209647.85
4178.52,1.0,2.0,1.0,48.0,,453084.98
2212.8,,2.0,1.0,19.0,8.0,329945.18
4450.88,1.0,2.0,2.0,3.0,5.0,507500.91
4406.26,5.0,1.0,1.0,37.0,2.0,486608.22
4126.66,5.0,,2.0,43.0,8.0,522925.58
4055.14,5.0,3.0,2.0,49.0,5.0,492779.67
,2.0,2.0,1.0,38.0,3.0,214287.79
864.14,5.0,1.0,1.0,4.0,7.0,192370.24
2313.41,5.0,3.0,2.0,41.0,4.0,315356.07
1280.86,,1.0,2.0,31.0,6.0,213316.72
3627.28,3.0,3.0,2.0,5.0,8.0,489258.98
2057.45,1.0,2.0,2.0,,1.0,236391.57
4890.25,5.0,1.0,2.0,5.0,2.0,555153.52
3384.37,1.0,3.0,,13.0,8.0,453703.43
,4.0,2.0,,11.0,7.0,523046.1
1096.36,1.0,3.0,1.0,,9.0,225397.06
4379.07,2.0,1.0,2.0,25.0,2.0,491011.96
4652.41,1.0,1.0,1.0,11.0,8.0,561306.33
2691.78,1.0,1.0,2.0,7.0,6.0,337556.28
3228.14,1.0,1.0,1.0,9.0,1.0,334789.19
3941.64,3.0,2.0,1.0,15.0,4.0,448450.81
1286.77,3.0,3.0,2.0,25.0,2.0,165199.5
2761.55,4.0,2.0,2.0,7.0,7.0,379914.2
2293.98,2.0,1.0,1.0,,9.0,329652.37
1158.68,1.0,3.0,1.0,44.0,6.0,186304.73
,1.0,1.0,1.0,28.0,4.0,257947.66
806.78,1.0,2.0,2.0,19.0,5.0,142337.35
616.15,1.0,2.0,,16.0,1.0,77615.77
1108.25,3.0,2.0,2.0,18.0,4.0,180526.26
4834.02,4.0,3.0,2.0,16.0,3.0,563888.91
2972.88,5.0,3.0,1.0,38.0,9.0,423588.26
4846.2,2.0,1.0,2.0,0.0,6.0,578981.01
2446.24,1.0,3.0,2.0,28.0,4.0,312555.33
1903.17,4.0,3.0,2.0,13.0,3.0,
2777.64,5.0,2.0,2.0,16.0,4.0,359880.95
2477.8,4.0,1.0,2.0,12.0,8.0,365091.82
975.49,3.0,2.0,1.0,28.0,,159839.74
,5.0,1.0,2.0,33.0,1.0,388196.6
1472.17,4.0,1.0,1.0,,5.0,222082.03
3288.15,3.0,3.0,2.0,45.0,8.0,452794.26
3425.9,4.0,2.0,2.0,32.0,,413667.53
1184.11,4.0,3.0,2.0,28.0,2.0,197227.97
776.07,5.0,3.0,2.0,36.0,3.0,157744.1
4013.43,3.0,3.0,1.0,38.0,9.0,513690.35
2569.1,1.0,1.0,1.0,18.0,7.0,349591.25
761.74,2.0,2.0,2.0,45.0,3.0,116595.51
4976.9,5.0,2.0,1.0,23.0,5.0,573952.27
760.01,3.0,,1.0,13.0,3.0,155288.67
3627.66,4.0,1.0,,46.0,4.0,429920.52
4926.56,3.0,2.0,1.0,36.0,8.0,598179.92
1576.31,2.0,2.0,1.0,4.0,3.0,208791.53
1140.12,2.0,3.0,2.0,23.0,3.0,184729.0
1046.23,1.0,1.0,2.0,33.0,8.0,193305.54
1864.74,1.0,3.0,1.0,49.0,7.0,277690.37
954.71,2.0,,2.0,30.0,7.0,178198.58
3614.73,5.0,1.0,2.0,29.0,2.0,413096.29
780.31,5.0,3.0,2.0,8.0,7.0,200183.52
2792.4,4.0,2.0,1.0,26.0,3.0,346383.14
4985.14,1.0,3.0,2.0,27.0,7.0,598491.81
4162.87,4.0,3.0,2.0,,,491751.56
3268.49,1.0,3.0,1.0,25.0,8.0,433696.24
1878.14,2.0,1.0,1.0,17.0,8.0,294221.12
3307.53,5.0,2.0,1.0,35.0,6.0,410912.03
2871.69,5.0,2.0,1.0,7.0,3.0,356114.24
2417.38,2.0,2.0,1.0,17.0,6.0,327425.22
